Deal Type;Announce Date;Target Name;Acquirer Name;Seller Name;Announced Total Value (mil.);Payment Type;TV/EBITDA;Deal Status;Nature of Bid;Target ISIN;Acquirer ISIN;Competing Bid Premium;Premium to 1-Month Avg Px (%);Percent Sought;Percent Owned;Net Debt
M&A;14/01/2005;Marionnaud Parfumeries SAS;Hutchison Whampoa Ltd;;993.45;Cash;10.17;Completed;Friendly;FR0000064941;HK0013000119;0.0000;30.9414;100.000000;0.000000;444.596008
INV;14/01/2005;Hunan Valin Steel Co Ltd;ArcelorMittal SA;Hunan Valin Iron & Steel Group Co Ltd;313.99;Cash;3.13;Completed;;CNE000001006;LU1598757687;0.0000;;36.673000;0.000000;0.000000
M&A;14/01/2005;Rensburg Sheppards PLC;Rathbone Brothers PLC;;190.67;Stock;13.50;Terminated;Hostile;GB00B0712D26;GB0002148343;0.0000;0;100.000000;0.000000;-34.576000
M&A;14/01/2005;V3 Global Inc;NightCulture Inc;;1.12;Stock; ;Completed;Friendly;US92909J1079;US65412B1008;0.0000;0;100.000000;0.000000;0.000000
M&A;17/01/2005;Southcorp Ltd;Foster's Group Pty Ltd;;2383.61;Cash;18.24;Completed;Hostile;AU000000SRP7;AU000000FGL6;0.0000;4.39833;81.199997;18.799999;567.187012
INV;17/01/2005;Nippon Broadcasting Holdings Inc;Fuji Media Holdings Inc;;460.50;Cash;40.63;Completed;Friendly;JP3749600007;JP3819400007;0.0000;15.5271;24.080000;12.390000;0.000000
INV;17/01/2005;Fortum Espoo Oy;E.ON SE;City of Espoo Finland;336.54;Cash;12.17;Completed;;FI0009004865;DE000ENAG999;0.0000;;34.299999;0.000000;0.000000
M&A;17/01/2005;Memorex Telex Japan Ltd;Kanematsu Corp;;77.70;Stock; ;Completed;Friendly;JP3921000000;JP3217100001;0.0000;-9.17738;68.599998;31.400000;6985.000000
M&A;18/01/2005;UnitedGlobalCom LLC;LGI International LLC;;3570.56;Cash or Stock;9.96;Completed;Friendly;US9132475081;US5307191032;0.0000;2.04616;47.000000;53.000000;0.000000
M&A;18/01/2005;Merge Healthcare Canada Corp;Merge Healthcare Inc;;344.53;Stock;18.87;Completed;Friendly;CA1506441023;US5894991026;0.0000;17.1993;100.000000;0.000000;-49.389999
M&A;18/01/2005;Computer Network Technology Corp;McDATA Corp;;281.36;Stock;18.75;Completed;Friendly;US2049251018;US5800312010;0.0000;13.3519;100.000000;0.000000;74.330002
M&A;18/01/2005;FFLC Bancorp Inc;Colonial BancGroup Inc/The;;227.03;Cash or Stock; ;Completed;Friendly;US30242W1045;US1954933099;0.0000;10.743;100.000000;0.000000;0.000000
INV;18/01/2005;Shanghai Electric Power Co Ltd;China Power International Development Ltd;;196.34;Cash; ;Completed;Friendly;CNE000001G53;HK2380027329;0.0000;0;25.000000;0.000000;0.000000
M&A;18/01/2005;IMPAC Medical Systems Inc;Elekta AB;;192.16;Cash;25.68;Completed;Friendly;US45255A1043;SE0000163628;0.0000;18.2946;100.000000;0.000000;-54.720001
M&A;18/01/2005;National Properties Corp;National Retail Properties Inc;;41.97;Stock;7.91;Completed;Friendly;US6372521079;US6374171063;0.0000;0;100.000000;0.000000;9.306000
M&A;20/01/2005;Aggregate Industries Holdings Ltd;LafargeHolcim Ltd;;4148.16;Cash;10.29;Completed;Friendly;GB0003238267;CH0012214059;0.0000;20.6959;85.300003;14.700000;684.099976
M&A;20/01/2005;IDBI Bank Ltd/Old;IDBI Bank Ltd;;167.94;Stock; ;Completed;Friendly;INE307A01011;INE008A01015;0.0000;0;44.669998;55.330002;0.000000
M&A;20/01/2005;Chester Valley Bancorp Inc;Willow Financial Bancorp Inc;;149.57;Cash or Stock; ;Completed;Friendly;US1663351096;US97111W1018;0.0000;13.9598;100.000000;0.000000;0.000000
M&A;20/01/2005;Falcon Financial Investment Trust;iStar Inc;;119.77;Cash; ;Completed;Friendly;US3060321037;US45031U1016;0.0000;13.375;100.000000;0.000000;0.000000
